fecha,mes,anio,servicio,tipo_pago,afluencia
2022-01-07,Enero,2022,Atenea,Boleto,15874
2022-01-07,Enero,2022,Atenea,Prepago,0
2022-01-07,Enero,2022,Atenea,Gratuidad,2744
2022-01-08,Enero,2022,Atenea,Boleto,7871
2022-01-08,Enero,2022,Atenea,Prepago,0
2022-01-08,Enero,2022,Atenea,Gratuidad,1361
2022-01-09,Enero,2022,Atenea,Boleto,4101
2022-01-09,Enero,2022,Atenea,Prepago,0
2022-01-09,Enero,2022,Atenea,Gratuidad,709
2022-01-10,Enero,2022,Atenea,Boleto,16326
2022-01-10,Enero,2022,Atenea,Prepago,0
2022-01-10,Enero,2022,Atenea,Gratuidad,2822
2022-01-11,Enero,2022,Atenea,Boleto,16372
2022-01-11,Enero,2022,Atenea,Prepago,0
2022-01-11,Enero,2022,Atenea,Gratuidad,2830
2022-01-12,Enero,2022,Atenea,Boleto,17298
2022-01-12,Enero,2022,Atenea,Prepago,0
2022-01-12,Enero,2022,Atenea,Gratuidad,2991
2022-01-13,Enero,2022,Atenea,Boleto,15331
2022-01-13,Enero,2022,Atenea,Prepago,0
2022-01-13,Enero,2022,Atenea,Gratuidad,2650
2022-01-14,Enero,2022,Atenea,Boleto,15445
2022-01-14,Enero,2022,Atenea,Prepago,0
2022-01-14,Enero,2022,Atenea,Gratuidad,2670
2022-01-15,Enero,2022,Atenea,Boleto,6804
2022-01-15,Enero,2022,Atenea,Prepago,0
2022-01-15,Enero,2022,Atenea,Gratuidad,1176
2022-01-16,Enero,2022,Atenea,Boleto,3267
2022-01-16,Enero,2022,Atenea,Prepago,0
2022-01-16,Enero,2022,Atenea,Gratuidad,565
2022-01-17,Enero,2022,Atenea,Boleto,16156
2022-01-17,Enero,2022,Atenea,Prepago,0
2022-01-17,Enero,2022,Atenea,Gratuidad,2793
2022-01-18,Enero,2022,Atenea,Boleto,15380
2022-01-18,Enero,2022,Atenea,Prepago,0
2022-01-18,Enero,2022,Atenea,Gratuidad,2659
2022-01-19,Enero,2022,Atenea,Boleto,15557
2022-01-19,Enero,2022,Atenea,Prepago,0
2022-01-19,Enero,2022,Atenea,Gratuidad,2690
2022-01-20,Enero,2022,Atenea,Boleto,17853
2022-01-20,Enero,2022,Atenea,Prepago,0
2022-01-20,Enero,2022,Atenea,Gratuidad,3086
2022-01-21,Enero,2022,Atenea,Boleto,14953
2022-01-21,Enero,2022,Atenea,Prepago,0
2022-01-21,Enero,2022,Atenea,Gratuidad,2585
2022-01-22,Enero,2022,Atenea,Boleto,5384
2022-01-22,Enero,2022,Atenea,Prepago,0
2022-01-22,Enero,2022,Atenea,Gratuidad,931
2022-01-23,Enero,2022,Atenea,Boleto,3574
2022-01-23,Enero,2022,Atenea,Prepago,0
2022-01-23,Enero,2022,Atenea,Gratuidad,618
2022-01-24,Enero,2022,Atenea,Boleto,14527
2022-01-24,Enero,2022,Atenea,Prepago,0
2022-01-24,Enero,2022,Atenea,Gratuidad,2511
2022-01-25,Enero,2022,Atenea,Boleto,13320
2022-01-25,Enero,2022,Atenea,Prepago,0
2022-01-25,Enero,2022,Atenea,Gratuidad,2303
2022-01-26,Enero,2022,Atenea,Boleto,12708
2022-01-26,Enero,2022,Atenea,Prepago,0
2022-01-26,Enero,2022,Atenea,Gratuidad,2197
2022-01-27,Enero,2022,Atenea,Boleto,12752
2022-01-27,Enero,2022,Atenea,Prepago,0
2022-01-27,Enero,2022,Atenea,Gratuidad,2205
