nombre,long,lat
Eje 2 Norte Camino a Santa Lucia,-99.20401748,19.47239775
Eje 3 Norte Calzada San Isidro,-99.20331045,19.48377663
Eje 3 Norte Angel Albino Corzo,-99.10730695,19.4620986
Eje 3 Norte Av. 506,-99.08745629,19.45514794
Eje 3A Norte Calzada San Isidro,-99.19881423,19.48144009
Eje 4 Norte Antigua Calzada de Guadalupe,-99.18533253,19.48963417
Eje 4 Norte Calzada Azcapotzalco - La Villa,-99.16867964,19.48968769
Eje 4 Norte Av. Fortuna,-99.13579876,19.48478953
Eje 4 Norte Av. 510,-99.0841182,19.46519834
Eje 4A Norte Refineria Azcapotzalco,-99.18531302,19.49062457
Eje 4A Norte Ahuehuetes,-99.19603501,19.4948934
Eje 5 Norte Calzada San Juan de Aragon,-99.09788785,19.47826489
Eje 5 Norte Poniente 140,-99.16094854,19.4966943
Eje 5 Norte Deportivo Reynosa,-99.18289885,19.50348613
Eje 5 Norte Lic. Andres Henestrosa,-99.19127859,19.50795205
Eje 5 Norte Av. de las Culturas,-99.20124721,19.51023399
Eje 6 Norte Villa de Ayala,-99.07679618,19.49061948
Eje 1 Sur Dr. Rio de la Loza,-99.1481159,19.42535081
Eje 1A Sur Arcos de Belen,-99.14549808,19.42708017
Eje 2 Sur Juan Escutia,-99.17503356,19.41499132
Eje 2 Sur Queretaro,-99.15890506,19.41508293
Eje 2 Sur Av. del Taller,-99.11616223,19.41311796
Eje 2A Sur Dr. Balmis,-99.14924067,19.41469428
Eje 2A Sur Jose Tomas Cuellar,-99.13408492,19.4126746
Eje 3 Sur A̱il,-99.0957393,19.40225239
Eje 3 Sur Calzada Chabacano,-99.13177566,19.40865339
Eje 3 Sur Dr. Ignacio Morones Prieto,-99.14993567,19.40686588
Eje 4 Sur Benjamin Franklin,-99.17770272,19.40565442
Eje 4 Sur Av. Coyoacan,-99.16756775,19.39933876
Eje 4 Sur Av. Te,-99.09305043,19.39513291
Eje 4 Sur San Rafael Atlixco,-99.08414971,19.38968442
Eje 5 Sur Av. de las Torres,-98.99839274,19.34848367
Eje 5 Sur Santa Maria La Purisima,-99.10967315,19.37904802
Eje 6 Sur Tintoreto,-99.18260012,19.38338444
Eje 6 Sur Holbein,-99.1776586,19.38240571
Eje 6 Sur Cumbres de Maltrata,-99.14102507,19.37752063
Eje 6 Sur Av. Morelos,-99.13800873,19.37698852
Eje 9 Sur Miguel Angel de Quevedo,-99.16549245,19.34492391
Eje 10 Sur Pedro Henriquez Ure̱a,-99.1636418,19.33533813
Eje 10 Sur Av. Copilco,-99.18319312,19.33715274
Eje 10 Sur Rio de La Magdalena,-99.19602246,19.33764156
Eje 10 Sur Canoa,-99.20342903,19.33400928
Eje 10 Sur Av. San Jeronimo,-99.20816043,19.33190439
Eje 10A Sur Av. Universidad,-99.18698789,19.33696581
Av. Circunvalacion,-99.11930254,19.44605959
Bordo de Xochiaca,-99.05743628,19.43180604
Calle 47,-99.08860829,19.41139786
Economia,-99.08476073,19.41783686
