nombre,inicia,termina,tipo_via,vel_max,latitud,longitud,geo_shape
Eje Central Ajusco,Circuito Interior Rio Churubusco,Eje Central Lazaro Cardenas,Eje Vial,50,19.35846984,-99.15250912,"{""type"": ""LineString"", ""coordinates"": [[-99.15310731084452, 19.35769097017199], [-99.15292778592062, 19.35807309008457], [-99.15274174141022, 19.358283213613916], [-99.1518022125228, 19.35916793466761]]}"
Eje Central Paganini,Eje Central Lazaro Cardenas,Av. de los Insurgentes Norte,Eje Vial,50,19.46990972,-99.13649408,"{""type"": ""LineString"", ""coordinates"": [[-99.13580260754388, 19.46891952201712], [-99.13608722542841, 19.469369956814333], [-99.13649382231081, 19.469906643454408], [-99.13667679170415, 19.470117483570366], [-99.13692074961527, 19.47051041319357], [-99.1370325642813, 19.470644583543578], [-99.13716043368237, 19.47091278776759]]}"
Eje 1 Oriente Ferrocarril Hidalgo,Eje 5 Norte Calzada San Juan de Aragon,Circuito Interior Rio Consulado,Eje Vial,50,19.47120341,-99.1144048,"{""type"": ""LineString"", ""coordinates"": [[-99.10623746524148, 19.48241822114025], [-99.10682575867237, 19.481599761102604], [-99.10752086266837, 19.48065211946705], [-99.10765927105867, 19.480461045091907], [-99.10836865379422, 19.479554913959365], [-99.11153426777372, 19.475400731131174], [-99.11164416488911, 19.475256510111322], [-99.11394782135805, 19.47215706444709], [-99.11488368108391, 19.470810935620758], [-99.11814555699948, 19.465881761216107], [-99.11832716756746, 19.465607310066655], [-99.12138671054328, 19.461116220458752], [-99.12219059089959, 19.46006413354907], [-99.12233823056562, 19.45982252613535]]}"
Eje 1 Oriente Boleo,Circuito Interior Rio Consulado,Eje 2 Norte Canal del Norte,Eje Vial,50,19.45599074,-99.12376443,"{""type"": ""LineString"", ""coordinates"": [[-99.12233823056562, 19.45982252613535], [-99.12323443544096, 19.45835589196379], [-99.12381034934727, 19.456115918723633], [-99.1247765220633, 19.451991484674796]]}"
Eje 1 Oriente Calzada Canal,Eje 1 Sur Fray Servando Teresa de Mier,Calzada de la Viga,Eje Vial,50,19.42161515,-99.12662467,"{""type"": ""LineString"", ""coordinates"": [[-99.12612519804433, 19.422864393318488], [-99.12624598576882, 19.422501293810992], [-99.12666592334834, 19.421516849990844], [-99.12714585107246, 19.420373981636043]]}"
Eje 1 Oriente Calzada de la Viga,Calzada de la Viga,Eje 3 Sur  Calzada Chabacano,Eje Vial,50,19.41463692,-99.1277117,"{""type"": ""LineString"", ""coordinates"": [[-99.12714585107246, 19.420373981636043], [-99.1273498209925, 19.419287683608395], [-99.12764977610743, 19.417386645256894], [-99.12803371923378, 19.414919788236478], [-99.12818837192243, 19.413832676636577], [-99.12818966014838, 19.413688637156262], [-99.12815847436922, 19.413525635106314], [-99.128142234217, 19.4134391870861], [-99.12810575109081, 19.413244986710442], [-99.12744580704232, 19.410155705549737], [-99.12740404694058, 19.40965094305183], [-99.12742334923048, 19.409498639853336], [-99.12748306645786, 19.409222525782432], [-99.12764739043905, 19.4089502766736]]}"
Eje 2 Oriente Canal de Miramontes,Anillo Periferico Boulevard Adolfo Ruiz Cortinez,Eje 1 Oriente Canal de Miramontes,Eje Vial,50,19.30063121,-99.12497089,"{""type"": ""LineString"", ""coordinates"": [[-99.12628555380927, 19.2859908749611], [-99.12611756585792, 19.287439987807875], [-99.12588264804569, 19.28994843813539], [-99.12579641367225, 19.29095220833022], [-99.12562556667423, 19.292853803756536], [-99.1254876072957, 19.294389312477456], [-99.12526676406704, 19.29677248525182], [-99.12484537664609, 19.3013900808836], [-99.1246160057918, 19.30392792795205], [-99.12444155329783, 19.305858089289543], [-99.12430348838784, 19.30699219502022], [-99.12408696694112, 19.310021229144727], [-99.12396949610674, 19.31107036800995], [-99.12395351963701, 19.311250052493286], [-99.12393526171988, 19.31145539921044], [-99.12408743362204, 19.312649951988575], [-99.12423701809284, 19.31382118532508], [-99.12433037299226, 19.314749763829834], [-99.12434553789866, 19.31481627298255], [-99.12439302182383, 19.31502787117869], [-99.12441875090423, 19.31510526675364], [-99.12446116507301, 19.315184820813474], [-99.12449456017272, 19.31523595490674], [-99.12449524349749, 19.315237004581647]]}"
Eje 2 Oriente Heroica Escuela Naval Militar,Eje 1 Oriente Canal de Miramontes,Canal Nacional,Eje Vial,50,19.33311184,-99.12299115,"{""type"": ""LineString"", ""coordinates"": [[-99.12449524349749, 19.315237004581647], [-99.12444506018923, 19.31534302806172], [-99.124352127071, 19.31556527218624], [-99.1242556704341, 19.315860344407238], [-99.12421206878295, 19.316073969356776], [-99.12420415070704, 19.31627572383372], [-99.12473466315556, 19.31966814551809], [-99.12497220629089, 19.321222359030553], [-99.12500387894724, 19.321693103891942], [-99.12500387887998, 19.32194715562382], [-99.12475841785272, 19.324218662243972], [-99.12459213779034, 19.32617631730849], [-99.12432828201635, 19.32929219324465], [-99.1243150040012, 19.329448984876205], [-99.12373698220276, 19.332295704900286], [-99.1235786197549, 19.33306528145385], [-99.1232935677739, 19.334387750450773], [-99.12307186149796, 19.33544123479312], [-99.12296892528695, 19.33612861108912], [-99.12271554599158, 19.33754071142401], [-99.12270041341036, 19.337592116046714], [-99.12263636549804, 19.337809681538083], [-99.12223254148273, 19.339311423153237], [-99.12160701170211, 19.34159015918309], [-99.12149615756917, 19.341933835262218], [-99.12089438246844, 19.344078055263864], [-99.11983335533591, 19.34826181799041], [-99.11970666598995, 19.348739955118994], [-99.11963540327518, 19.34920314958289], [-99.119706666165, 19.349434745727716], [-99.11996796325879, 19.349823230404397], [-99.12030052361385, 19.35039101246512], [-99.12040345934184, 19.35057031187748], [-99.1204155996885, 19.350673402436115]]}"
Eje 2 Oriente Calzada de la Viga,Canal Nacional,Calzada de la Viga,Eje Vial,50,19.37374661,-99.12226395,"{""type"": ""LineString"", ""coordinates"": [[-99.1204155996885, 19.350673402436115], [-99.12044304995572, 19.350906497703292], [-99.12051431251008, 19.351242683343685], [-99.12056182171784, 19.351444393913], [-99.12072504177314, 19.351825402436848], [-99.12084780778056, 19.352183997961887], [-99.12095779677244, 19.352444657168885], [-99.1212111061039, 19.35323736657417], [-99.12155950295511, 19.354380377320624], [-99.12180496436291, 19.356315258160414], [-99.12183813340965, 19.357660889112108], [-99.12184455504628, 19.35792141623097], [-99.12210585234072, 19.35981890422688], [-99.12226407362373, 19.36216540187232], [-99.12235934432347, 19.364067878320952], [-99.12237060673343, 19.366400175529844], [-99.1224146118358, 19.369340255082424], [-99.12241465795654, 19.36934335936612], [-99.12243049477148, 19.37239106768694], [-99.1225079471263, 19.37404188581167], [-99.12253208964691, 19.375655427199508], [-99.12253342978701, 19.37574497509492], [-99.12260656189031, 19.377498019961585], [-99.12261079099785, 19.380189865437316], [-99.12261080748266, 19.3802004417731], [-99.12228796847552, 19.385858566426396], [-99.12222462382171, 19.387382273367415], [-99.12200291728007, 19.39041470673747], [-99.12203458878378, 19.390713465370943], [-99.12285807267664, 19.393581521849395], [-99.12344401195878, 19.396225466775764], [-99.12345632450467, 19.396495711020716], [-99.12342377577437, 19.396809486657784], [-99.12341649015107, 19.39685020906294]]}"
Eje 3 Oriente Ingeniero Eduardo Molina,Anillo Periferico Av. Rio de los Remedios,Calzada Ignacio Zaragoza,Eje Vial,50,19.46912895,-99.101798,"{""type"": ""LineString"", ""coordinates"": [[-99.08582902453212, 19.507390247611788], [-99.0874799753876, 19.503440747517942], [-99.08904775999584, 19.499887950918016], [-99.0915657181408, 19.493842045866884], [-99.09162132151832, 19.4937078254113], [-99.09365609772955, 19.488796155002944], [-99.09443187889681, 19.487035848777033], [-99.0950180117351, 19.485705842567416], [-99.09787062047374, 19.479018602236188], [-99.09797938403041, 19.478763621114744], [-99.10002225482553, 19.473911354644166], [-99.1015112125885, 19.470432437419593], [-99.10330035073486, 19.466251941586453], [-99.10535266786337, 19.46137104388228], [-99.10542240290216, 19.46120519116197], [-99.10716438647776, 19.456845150407798], [-99.10880142502268, 19.452687247379952], [-99.10892220578084, 19.45238046676418], [-99.10919142105351, 19.451633852493895], [-99.10933394722208, 19.451320273332062], [-99.10968234422864, 19.450902166193625], [-99.11004657689199, 19.450603518220674], [-99.11015743037846, 19.450260072386914], [-99.11060084415266, 19.44909533656894], [-99.11066214334978, 19.44891037215161], [-99.11066242382398, 19.448909526999486], [-99.11091756881693, 19.448139649460984], [-99.11189941398278, 19.445362153588576], [-99.1131029655848, 19.442151546886752], [-99.11365723359003, 19.44077768695386], [-99.11379074161748, 19.440159908981055], [-99.11428185212498, 19.43788742064121], [-99.11433819058408, 19.437626724934905], [-99.11470242323355, 19.435371733153033], [-99.11511930028834, 19.433083901548894], [-99.11517618658847, 19.431787019830285], [-99.11537325520958, 19.430215319267436]]}"
