fecha,anio,mes,linea,afluencia
8/23/2005,2005,Agosto,Linea 2,0
8/23/2005,2005,Agosto,Linea 5,0
8/23/2005,2005,Agosto,Linea 3,0
8/24/2005,2005,Agosto,Linea 7,0
8/24/2005,2005,Agosto,Linea 4,0
8/24/2005,2005,Agosto,Linea 2,0
8/24/2005,2005,Agosto,Linea 1,271417
8/24/2005,2005,Agosto,Linea 5,0
8/24/2005,2005,Agosto,Linea 3,0
8/24/2005,2005,Agosto,Linea 6,0
8/25/2005,2005,Agosto,Linea 2,0
8/25/2005,2005,Agosto,Linea 3,0
8/25/2005,2005,Agosto,Linea 1,237583
8/25/2005,2005,Agosto,Linea 6,0
8/25/2005,2005,Agosto,Linea 4,0
8/25/2005,2005,Agosto,Linea 5,0
8/25/2005,2005,Agosto,Linea 7,0
8/26/2005,2005,Agosto,Linea 7,0
8/26/2005,2005,Agosto,Linea 4,0
8/26/2005,2005,Agosto,Linea 2,0
8/26/2005,2005,Agosto,Linea 1,277061
8/26/2005,2005,Agosto,Linea 6,0
8/26/2005,2005,Agosto,Linea 5,0
8/26/2005,2005,Agosto,Linea 3,0
8/27/2005,2005,Agosto,Linea 1,146053
8/27/2005,2005,Agosto,Linea 7,0
8/27/2005,2005,Agosto,Linea 5,0
8/27/2005,2005,Agosto,Linea 3,0
8/27/2005,2005,Agosto,Linea 4,0
8/27/2005,2005,Agosto,Linea 6,0
8/27/2005,2005,Agosto,Linea 2,0
8/28/2005,2005,Agosto,Linea 7,0
8/28/2005,2005,Agosto,Linea 4,0
8/28/2005,2005,Agosto,Linea 1,104760
8/28/2005,2005,Agosto,Linea 2,0
8/28/2005,2005,Agosto,Linea 5,0
8/28/2005,2005,Agosto,Linea 6,0
8/28/2005,2005,Agosto,Linea 3,0
8/29/2005,2005,Agosto,Linea 1,257559
8/29/2005,2005,Agosto,Linea 2,0
8/29/2005,2005,Agosto,Linea 5,0
8/29/2005,2005,Agosto,Linea 6,0
8/29/2005,2005,Agosto,Linea 7,0
8/29/2005,2005,Agosto,Linea 4,0
8/29/2005,2005,Agosto,Linea 3,0
8/30/2005,2005,Agosto,Linea 1,269336
8/30/2005,2005,Agosto,Linea 5,0
