cve_entidad,desc_entidad,cve_municipio,desc_municipio,id_indicador,indicador,año,valor,unidad_medida
09,Ciudad de México,002,Azcapotzalco,6207048973,Vehículos de motor registrados en circulación,2013,238985,No especificada
09,Ciudad de México,002,Azcapotzalco,6207048973,Vehículos de motor registrados en circulación,2014,261015,No especificada
09,Ciudad de México,002,Azcapotzalco,6207048973,Vehículos de motor registrados en circulación,2015,274867,No especificada
09,Ciudad de México,002,Azcapotzalco,6207048973,Vehículos de motor registrados en circulación,2016,285559,No especificada
09,Ciudad de México,002,Azcapotzalco,6207048973,Vehículos de motor registrados en circulación,2017,297476,No especificada
09,Ciudad de México,002,Azcapotzalco,6207048973,Vehículos de motor registrados en circulación,2018,311310,No especificada
09,Ciudad de México,002,Azcapotzalco,6207048973,Vehículos de motor registrados en circulación,2019,324084,No especificada
09,Ciudad de México,002,Azcapotzalco,6207048973,Vehículos de motor registrados en circulación,2020,326530,No especificada
09,Ciudad de México,002,Azcapotzalco,6207048973,Vehículos de motor registrados en circulación,2021,329694,No especificada
09,Ciudad de México,003,Coyoacán,6207048973,Vehículos de motor registrados en circulación,1980,177638,No especificada
09,Ciudad de México,003,Coyoacán,6207048973,Vehículos de motor registrados en circulación,1981,189695,No especificada
09,Ciudad de México,003,Coyoacán,6207048973,Vehículos de motor registrados en circulación,1982,187112,No especificada
09,Ciudad de México,003,Coyoacán,6207048973,Vehículos de motor registrados en circulación,1983,168900,No especificada
09,Ciudad de México,003,Coyoacán,6207048973,Vehículos de motor registrados en circulación,1984,170936,No especificada
09,Ciudad de México,003,Coyoacán,6207048973,Vehículos de motor registrados en circulación,1985,174619,No especificada
09,Ciudad de México,003,Coyoacán,6207048973,Vehículos de motor registrados en circulación,1986,144818,No especificada
09,Ciudad de México,003,Coyoacán,6207048973,Vehículos de motor registrados en circulación,1987,141439,No especificada
09,Ciudad de México,003,Coyoacán,6207048973,Vehículos de motor registrados en circulación,1988,151202,No especificada
09,Ciudad de México,003,Coyoacán,6207048973,Vehículos de motor registrados en circulación,1989,153878,No especificada
09,Ciudad de México,003,Coyoacán,6207048973,Vehículos de motor registrados en circulación,1990,176490,No especificada
09,Ciudad de México,003,Coyoacán,6207048973,Vehículos de motor registrados en circulación,1991,174316,No especificada
09,Ciudad de México,003,Coyoacán,6207048973,Vehículos de motor registrados en circulación,1992,183462,No especificada
09,Ciudad de México,003,Coyoacán,6207048973,Vehículos de motor registrados en circulación,1993,208784,No especificada
09,Ciudad de México,003,Coyoacán,6207048973,Vehículos de motor registrados en circulación,1994,188707,No especificada
09,Ciudad de México,003,Coyoacán,6207048973,Vehículos de motor registrados en circulación,1995,198583,No especificada
09,Ciudad de México,003,Coyoacán,6207048973,Vehículos de motor registrados en circulación,1996,192213,No especificada
09,Ciudad de México,003,Coyoacán,6207048973,Vehículos de motor registrados en circulación,1997,195270,No especificada
09,Ciudad de México,003,Coyoacán,6207048973,Vehículos de motor registrados en circulación,1998,242506,No especificada
09,Ciudad de México,003,Coyoacán,6207048973,Vehículos de motor registrados en circulación,1999,251679,No especificada
09,Ciudad de México,003,Coyoacán,6207048973,Vehículos de motor registrados en circulación,2000,238612,No especificada
09,Ciudad de México,003,Coyoacán,6207048973,Vehículos de motor registrados en circulación,2001,229899,No especificada
09,Ciudad de México,003,Coyoacán,6207048973,Vehículos de motor registrados en circulación,2002,222358,No especificada
09,Ciudad de México,003,Coyoacán,6207048973,Vehículos de motor registrados en circulación,2003,216468,No especificada
09,Ciudad de México,003,Coyoacán,6207048973,Vehículos de motor registrados en circulación,2004,245673,No especificada
09,Ciudad de México,003,Coyoacán,6207048973,Vehículos de motor registrados en circulación,2005,261229,No especificada
09,Ciudad de México,003,Coyoacán,6207048973,Vehículos de motor registrados en circulación,2006,288177,No especificada
09,Ciudad de México,003,Coyoacán,6207048973,Vehículos de motor registrados en circulación,2007,311666,No especificada
09,Ciudad de México,003,Coyoacán,6207048973,Vehículos de motor registrados en circulación,2008,310466,No especificada
09,Ciudad de México,003,Coyoacán,6207048973,Vehículos de motor registrados en circulación,2009,328307,No especificada
09,Ciudad de México,003,Coyoacán,6207048973,Vehículos de motor registrados en circulación,2010,332312,No especificada
09,Ciudad de México,003,Coyoacán,6207048973,Vehículos de motor registrados en circulación,2011,352109,No especificada
09,Ciudad de México,003,Coyoacán,6207048973,Vehículos de motor registrados en circulación,2012,372974,No especificada
09,Ciudad de México,003,Coyoacán,6207048973,Vehículos de motor registrados en circulación,2013,387853,No especificada
09,Ciudad de México,003,Coyoacán,6207048973,Vehículos de motor registrados en circulación,2014,405449,No especificada
09,Ciudad de México,003,Coyoacán,6207048973,Vehículos de motor registrados en circulación,2015,427559,No especificada
09,Ciudad de México,003,Coyoacán,6207048973,Vehículos de motor registrados en circulación,2016,447368,No especificada
09,Ciudad de México,003,Coyoacán,6207048973,Vehículos de motor registrados en circulación,2017,470741,No especificada
09,Ciudad de México,003,Coyoacán,6207048973,Vehículos de motor registrados en circulación,2018,498273,No especificada
09,Ciudad de México,003,Coyoacán,6207048973,Vehículos de motor registrados en circulación,2019,519820,No especificada
09,Ciudad de México,003,Coyoacán,6207048973,Vehículos de motor registrados en circulación,2020,521373,No especificada
09,Ciudad de México,003,Coyoacán,6207048973,Vehículos de motor registrados en circulación,2021,528707,No especificada
09,Ciudad de México,004,Cuajimalpa de Morelos,6207048973,Vehículos de motor registrados en circulación,1980,16354,No especificada
09,Ciudad de México,004,Cuajimalpa de Morelos,6207048973,Vehículos de motor registrados en circulación,1981,17466,No especificada
09,Ciudad de México,004,Cuajimalpa de Morelos,6207048973,Vehículos de motor registrados en circulación,1982,17161,No especificada
09,Ciudad de México,004,Cuajimalpa de Morelos,6207048973,Vehículos de motor registrados en circulación,1983,15470,No especificada
09,Ciudad de México,004,Cuajimalpa de Morelos,6207048973,Vehículos de motor registrados en circulación,1984,15666,No especificada
09,Ciudad de México,004,Cuajimalpa de Morelos,6207048973,Vehículos de motor registrados en circulación,1985,15995,No especificada
09,Ciudad de México,004,Cuajimalpa de Morelos,6207048973,Vehículos de motor registrados en circulación,1986,13247,No especificada
09,Ciudad de México,004,Cuajimalpa de Morelos,6207048973,Vehículos de motor registrados en circulación,1987,13913,No especificada
09,Ciudad de México,004,Cuajimalpa de Morelos,6207048973,Vehículos de motor registrados en circulación,1988,16322,No especificada
09,Ciudad de México,004,Cuajimalpa de Morelos,6207048973,Vehículos de motor registrados en circulación,1989,16976,No especificada
09,Ciudad de México,004,Cuajimalpa de Morelos,6207048973,Vehículos de motor registrados en circulación,1990,20689,No especificada
